Empresa,Ticker
Acciona,ANA.MC
Acciona Energía,ANE.MC
Acerinox,ACX.MC
ACS,ACS.MC
Aena,AENA.MC
Amadeus IT Group,AMS.MC
ArcelorMittal,MTS.MC
Banco Sabadell,SAB.MC
Banco Santander,SAN.MC
Bankinter,BKT.MC
BBVA,BBVA.MC
CaixaBank,CABK.MC
Cellnex Telecom,CLNX.MC
Enagás,ENG.MC
Endesa,ELE.MC
Ferrovial,FER.MC
Fluidra,FDR.MC
Grifols,GRF.MC
IAG,IAG.MC
Iberdrola,IBE.MC
Inditex,ITX.MC
Indra Sistemas,IDR.MC
Inmobiliaria Colonial,COL.MC
Logista,LOG.MC
Mapfre,MAP.MC
Meliá Hotels International,MEL.MC
Merlin Properties,MRL.MC
Naturgy,NTGY.MC
Red Eléctrica Corporación,RED.MC
Repsol,REP.MC
Laboratorios Rovi,ROVI.MC
Sacyr,SCYR.MC
Solaria Energía y Medio Ambiente,SLR.MC
Telefónica,TEF.MC
Unicaja Banco,UNI.MC
