Date,Open,High,Low,Close,Adj Close,Volume
2020-11-30,3.865000,3.966000,3.815000,3.930000,3.399402,51849364
2020-12-01,3.865000,4.007000,3.837000,4.005000,3.464276,45127272
2020-12-02,3.983000,4.080000,3.945000,4.080000,3.529150,43622604
2020-12-03,4.080000,4.103000,3.989000,4.078000,3.527420,26349754
2020-12-04,4.067000,4.304000,4.055000,4.304000,3.722907,53906462
2020-12-07,4.250000,4.301000,4.173000,4.200000,3.632948,24370848
2020-12-08,4.179000,4.238000,4.154000,4.155000,3.594024,14456337
2020-12-09,4.177000,4.197000,4.139000,4.155000,3.594024,17472817
2020-12-10,4.196000,4.196000,4.003000,4.054000,3.506660,24864263
2020-12-11,4.026000,4.058000,3.864000,3.971000,3.434866,41358829
2020-12-14,4.020000,4.114000,4.013000,4.028000,3.484171,27257966
2020-12-15,4.030000,4.108000,3.983000,4.099000,3.545585,18943343
2020-12-16,4.062000,4.118000,4.016000,4.056000,3.508390,17859127
2020-12-17,4.069000,4.088000,4.006000,4.059000,3.510985,23603295
2020-12-18,4.033000,4.097000,4.013000,4.054000,3.506660,71767881
2020-12-21,3.912000,3.958000,3.796000,3.881000,3.357018,21393382
2020-12-22,3.895000,3.999000,3.893000,3.966000,3.430542,12281484
2020-12-23,3.968000,4.095000,3.956000,4.081000,3.530015,29162348
2020-12-24,4.093000,4.105000,4.060000,4.100000,3.546449,3838517
2020-12-28,4.136000,4.150000,4.001000,4.078000,3.527420,9906186
2020-12-29,4.104000,4.120000,4.039000,4.068000,3.518770,9927906
2020-12-30,4.070000,4.148000,4.062000,4.074000,3.523960,9544365
2020-12-31,4.051000,4.082000,4.035000,4.035000,3.490225,6323207
2021-01-04,4.098000,4.098000,3.983000,4.078000,3.527420,17697478
2021-01-05,4.040000,4.093000,4.022000,4.074000,3.523960,10364379
2021-01-06,4.155000,4.360000,4.155000,4.309000,3.727232,23840511
2021-01-07,4.331000,4.364000,4.236000,4.352000,3.764426,16392749
2021-01-08,4.375000,4.375000,4.243000,4.276000,3.698688,17999939
2021-01-11,4.275000,4.309000,4.213000,4.251000,3.677063,18714251
2021-01-12,4.284000,4.295000,4.243000,4.256000,3.681388,13919658
2021-01-13,4.250000,4.264000,4.191000,4.196000,3.629489,15753851
2021-01-14,4.190000,4.225000,4.136000,4.174000,3.610458,15361594
2021-01-15,4.159000,4.216000,4.020000,4.088000,3.536070,47387693
2021-01-18,4.070000,4.152000,4.057000,4.140000,3.581049,8693398
2021-01-19,4.160000,4.195000,4.022000,4.022000,3.478981,14226056
2021-01-20,4.027000,4.074000,4.014000,4.051000,3.504066,18621280
2021-01-21,4.070000,4.099000,4.020000,4.035000,3.490225,24091369
2021-01-22,3.990000,4.066000,3.958000,4.002000,3.461681,23884878
2021-01-25,4.050000,4.088000,3.863000,3.887000,3.362208,14230938
2021-01-26,3.912000,3.976000,3.891000,3.944000,3.411512,16326429
2021-01-27,3.945000,3.962000,3.788000,3.835000,3.317228,30115874
2021-01-28,3.782000,3.956000,3.782000,3.941000,3.408917,22505578
2021-01-29,3.883000,3.908000,3.767000,3.767000,3.258409,26872725
2021-02-01,3.846000,3.848000,3.736000,3.758000,3.250624,22706793
2021-02-02,3.801000,3.984000,3.763000,3.984000,3.446111,34448529
2021-02-03,4.103000,4.150000,3.925000,4.016000,3.473791,24659917
2021-02-04,4.100000,4.340000,4.064000,4.317000,3.734152,40878743
2021-02-05,4.301000,4.442000,4.260000,4.421000,3.824111,35813250
2021-02-08,4.472000,4.524000,4.410000,4.489000,3.882930,21637405
2021-02-09,4.484000,4.489000,4.361000,4.378000,3.786916,14276780
2021-02-10,4.400000,4.461000,4.362000,4.394000,3.800756,30183781
2021-02-11,4.394000,4.416000,4.322000,4.382000,3.790376,11088054
2021-02-12,4.367000,4.406000,4.257000,4.400000,3.805946,16971411
2021-02-15,4.488000,4.587000,4.458000,4.566000,3.949534,15305315
2021-02-16,4.520000,4.544000,4.446000,4.507000,3.898500,18287664
2021-02-17,4.495000,4.551000,4.404000,4.448000,3.847466,16269546
2021-02-18,4.426000,4.499000,4.385000,4.449000,3.848330,19760444
2021-02-19,4.446000,4.538000,4.391000,4.505000,3.896770,15370429
2021-02-22,4.480000,4.507000,4.410000,4.474000,3.869955,17051887
2021-02-23,4.482000,4.620000,4.482000,4.590000,3.970294,28838962
2021-02-24,4.590000,4.630000,4.542000,4.630000,4.004894,15645544
2021-02-25,4.700000,4.808000,4.672000,4.704000,4.068902,27426358
2021-02-26,4.594000,4.690000,4.541000,4.603000,3.981539,23371217
2021-03-01,4.669000,4.700000,4.581000,4.610000,3.987593,14453255
2021-03-02,4.572000,4.639000,4.534000,4.563000,3.946939,13274103
2021-03-03,4.597000,4.737000,4.596000,4.699000,4.064578,18290382
2021-03-04,4.630000,4.699000,4.611000,4.673000,4.042088,15817550
2021-03-05,4.650000,4.789000,4.581000,4.703000,4.068038,20250039
2021-03-08,4.790000,4.838000,4.744000,4.800000,4.151942,16964482
2021-03-09,4.780000,4.782000,4.607000,4.712000,4.075822,25519968
2021-03-10,4.700000,4.784000,4.647000,4.650000,4.022193,21383383
2021-03-11,4.731000,4.764000,4.585000,4.674000,4.042952,16524852
2021-03-12,4.680000,4.810000,4.679000,4.775000,4.130317,15182254
2021-03-15,4.779000,4.823000,4.640000,4.699000,4.064578,15630085
2021-03-16,4.725000,4.790000,4.634000,4.674000,4.042952,18251836
2021-03-17,4.695000,4.812000,4.670000,4.771000,4.126856,19986398
2021-03-18,4.810000,4.897000,4.747000,4.864000,4.207300,22255064
2021-03-19,4.806000,4.808000,4.670000,4.678000,4.046413,32876983
2021-03-22,4.438000,4.453000,4.312000,4.317000,3.734152,48750221
2021-03-23,4.328000,4.384000,4.301000,4.337000,3.751452,24111447
2021-03-24,4.290000,4.395000,4.225000,4.395000,3.801621,16671245
2021-03-25,4.380000,4.381000,4.273000,4.356000,3.767886,12275900
2021-03-26,4.420000,4.480000,4.378000,4.433000,3.834491,18252624
2021-03-29,4.400000,4.462000,4.365000,4.367000,3.777402,16581640
2021-03-30,4.424000,4.510000,4.424000,4.499000,3.891580,17184277
2021-03-31,4.460000,4.522000,4.426000,4.426000,3.828436,12792146
2021-04-01,4.457000,4.484000,4.428000,4.445500,3.845303,9423887
2021-04-06,4.531000,4.593000,4.500000,4.526500,3.915367,15071444
2021-04-07,4.509000,4.566000,4.489000,4.518000,3.908015,11160563
2021-04-08,4.556000,4.564500,4.443500,4.538500,3.925747,15852148
2021-04-09,4.535000,4.562000,4.431000,4.431000,3.832761,17166477
2021-04-12,4.410000,4.478500,4.360000,4.477000,3.872551,14217346
2021-04-13,4.457000,4.512500,4.388000,4.421000,3.824111,16116832
2021-04-14,4.428500,4.496000,4.404500,4.485500,3.879902,11575796
2021-04-15,4.491500,4.506000,4.337500,4.337500,3.751884,16772431
2021-04-16,4.373000,4.410000,4.325500,4.362500,3.773509,25299177
2021-04-19,4.380000,4.538500,4.357500,4.513500,3.904123,24009159
2021-04-20,4.500500,4.524000,4.303000,4.312500,3.730259,27005849
2021-04-21,4.324000,4.386000,4.224000,4.285500,3.706905,28404164
2021-04-22,4.298500,4.418000,4.280000,4.400500,3.806379,15758197
2021-04-23,4.390000,4.447000,4.320000,4.333000,3.747992,10244333
2021-04-26,4.363500,4.481500,4.320000,4.478500,3.873848,19905310
2021-04-27,4.434000,4.490000,4.360000,4.485000,3.931261,19346268
2021-04-28,4.570000,4.660000,4.424000,4.492500,3.937834,32283073
2021-04-29,4.520000,4.620500,4.494500,4.550500,3.988674,18170890
2021-04-30,4.540500,4.720000,4.470000,4.670500,4.093858,23622902
2021-05-03,4.652500,4.710000,4.630000,4.676000,4.098679,11349378
2021-05-04,4.700000,4.795000,4.643500,4.665000,4.089037,22502585
2021-05-05,4.735500,4.795500,4.700000,4.772500,4.183265,16996685
2021-05-06,4.770000,4.806500,4.710500,4.806500,4.213067,15459849
2021-05-07,4.820000,4.860000,4.727500,4.821500,4.226215,13968168
2021-05-10,4.869500,4.965500,4.844500,4.928000,4.319566,19672113
2021-05-11,4.875500,4.950000,4.846000,4.909000,4.302912,13871899
2021-05-12,4.890000,4.947500,4.826500,4.903000,4.297653,17755129
2021-05-13,4.835000,4.922500,4.801000,4.892000,4.288011,15496774
2021-05-14,4.930000,5.028000,4.925000,5.028000,4.407220,23649851
2021-05-17,5.000000,5.044000,4.951000,5.008000,4.389688,12019135
2021-05-18,5.050000,5.129000,5.044000,5.125000,4.492243,21833300
2021-05-19,5.050000,5.107000,4.928000,4.995500,4.378732,21935438
