;X;TV;Radio;Newspaper;Web;Sales
1;1;230,1;37,8;69,2;306,634752;22,1
2;2;44,5;39,3;45,1;302,6530698;10,4
3;3;17,2;45,9;69,3;49,49890816;9,3
4;4;151,5;41,3;58,5;257,8168931;18,5
5;5;180,8;10,8;58,4;195,6600763;12,9
6;6;8,7;48,9;75;22,07239505;7,2
7;7;57,5;32,8;23,5;246,8115982;11,8
8;8;120,2;19,6;11,6;229,9714586;13,2
9;9;8,6;2,1;1;144,6173851;4,8
10;10;199,8;2,6;21,2;111,2722638;10,6
11;11;66,1;5,8;24,2;45,35902858;8,6
12;12;214,7;24;4;164,9717641;17,4
13;13;23,8;35,1;65,9;87,92108537;9,2
14;14;97,5;7,6;7,2;173,6580352;9,7
15;15;204,1;32,9;46;245,7749602;19
16;16;195,4;47,7;52,9;148,0951336;22,4
17;17;67,8;36,6;114;202,6389029;12,5
18;18;281,4;39,6;55,8;41,75531267;24,4
19;19;69,2;20,5;18,3;210,4899104;11,3
20;20;147,3;23,9;19,1;268,7353841;14,6
21;21;218,4;27,7;53,4;59,96055434;18
22;22;237,4;5,1;23,5;296,95207;12,5
23;23;13,2;15,9;49,6;219,8827765;5,6
24;24;228,3;16,9;26,2;51,17007251;15,5
25;25;62,3;12,6;18,3;256,9652405;9,7
26;26;262,9;3,5;19,5;160,5628587;12
27;27;142,9;29,3;12,6;275,512483;15
28;28;240,1;16,7;22,9;228,1574372;15,9
29;29;248,8;27,1;22,9;318,6449665;18,9
30;30;70,6;16;40,8;61,32436178;10,5
31;31;292,9;28,3;43,2;121,4643467;21,4
32;32;112,9;17,4;38,6;295,8839889;11,9
33;33;97,2;1,5;30;139,7810885;9,6
34;34;265,6;20;0,3;94,20725518;17,4
35;35;95,7;1,4;7,4;321,1746094;9,5
36;36;290,7;4,1;8,5;181,9834235;12,8
37;37;266,9;43,8;5;96,31682891;25,4
38;38;74,7;49,4;45,7;56,53622338;14,7
39;39;43,1;26,7;35,1;122,7535907;10,1
40;40;228;37,7;32;196,4832689;21,5
41;41;202,5;22,3;31,6;88,21282275;16,6
42;42;177;33,4;38,7;147,8593237;17,1
43;43;293,6;27,7;1,8;174,7168202;20,7
44;44;206,9;8,4;26,4;213,6096105;12,9
45;45;25,1;25,7;43,3;245,7644096;8,5
46;46;175,1;22,5;31,5;62,80926376;14,9
47;47;89,7;9,9;35,7;216,504015;10,6
48;48;239,9;41,5;18,5;105,9629127;23,2
49;49;227,2;15,8;49,9;75,26918218;14,8
50;50;66,9;11,7;36,8;205,2535009;9,7
51;51;199,8;3,1;34,6;151,9907333;11,4
52;52;100,4;9,6;3,6;41,3352553;10,7
53;53;216,4;41,7;39,6;161,8025121;22,6
54;54;182,6;46,2;58,7;176,0500519;21,2
55;55;262,7;28,8;15,9;324,615179;20,2
56;56;198,9;49,4;60;204,4189274;23,7
57;57;7,3;28,1;41,4;121,3285255;5,5
58;58;136,2;19,2;16,6;60,45435495;13,2
59;59;210,8;49,6;37,7;32,41173959;23,8
60;60;210,7;29,5;9,3;138,8955543;18,4
61;61;53,5;2;21,4;39,21715293;8,1
62;62;261,3;42,7;54,7;224,832039;24,2
63;63;239,3;15,5;27,3;312,2095554;15,7
64;64;102,7;29,6;8,4;183,0097498;14
65;65;131,1;42,8;28,9;124,3822276;18
66;66;69;9,3;0,9;205,9934854;9,3
67;67;31,5;24,6;2,2;216,4713966;9,5
68;68;139,3;14,5;10,2;207,6619898;13,4
69;69;237,4;27,5;11;291,5485968;18,9
70;70;216,8;43,9;27,2;149,3961029;22,3
71;71;199,1;30,6;38,7;210,7521416;18,3
72;72;109,8;14,3;31,7;151,9907333;12,4
73;73;26,8;33;19,3;211,9909067;8,8
74;74;129,4;5,7;31,3;61,30619122;11
75;75;213,4;24,6;13,1;156,2842615;17
76;76;16,9;43,7;89,4;70,23428177;8,7
77;77;27,5;1,6;20,7;117,1019253;6,9
78;78;120,5;28,5;14,2;97,45512501;14,2
79;79;5,4;29,9;9,4;4,308085171;5,3
80;80;116;7,7;23,1;120,0535037;11
81;81;76,4;26,7;22,3;268,1513202;11,8
82;82;239,8;4,1;36,9;169,9463955;12,3
83;83;75,3;20,3;32,5;231,2098286;11,3
84;84;68,4;44,5;35,6;78,39310377;13,6
85;85;213,5;43;33,8;191,8683742;21,7
86;86;193,2;18,4;65,7;223,5787931;15,2
87;87;76,3;27,5;16;193,8308943;12
88;88;110,7;40,6;63,2;107,4305206;16
89;89;88,3;25,5;73,4;260,1019285;12,9
90;90;109,8;47,8;51,4;162,7278905;16,7
91;91;134,3;4,9;9,3;258,3554881;11,2
92;92;28,6;1,5;33;172,467947;7,3
93;93;217,7;33,5;59;150,9627535;19,4
94;94;250,9;36,5;72,3;202,1021581;22,2
95;95;107,4;14;10,9;151,9907333;11,5
96;96;163,3;31,6;52,9;155,5948767;16,9
97;97;197,6;3,5;5,9;139,8305439;11,7
98;98;184,9;21;22;253,3007211;15,5
99;99;289,7;42,3;51,2;183,5695849;25,4
100;100;135,2;41,7;45,9;40,60035044;17,2
101;101;222,4;4,3;49,8;125,6271429;11,7
102;102;296,4;36,3;100,9;61,00525122;23,8
103;103;280,2;10,1;21,4;49,80845101;14,8
104;104;187,9;17,2;17,9;97,08862981;14,7
105;105;238,2;34,3;5,3;112,1554889;20,7
106;106;137,9;46,4;59;138,7626322;19,2
107;107;25;11;29,7;15,93820791;7,2
108;108;90,4;0,3;23,2;261,3808794;8,7
109;109;13,1;0,4;25,6;252,3913529;5,3
110;110;255,4;26,9;5,5;273,4541252;19,8
111;111;225,8;8,2;56,5;95,18576227;13,4
112;112;241,7;38;23,2;180,5115279;21,8
113;113;175,7;15,4;2,4;71,68255116;14,1
114;114;209,6;20,6;10,7;42,88379633;15,9
115;115;78,2;46,8;34,5;76,77042756;14,6
116;116;75,1;35;52,7;204,2767139;12,6
117;117;139,2;14,3;25,6;234,1831176;12,2
118;118;76,4;0,8;14,8;234,3845011;9,4
119;119;125,7;36,9;79,2;187,8404148;15,9
120;120;19,4;16;22,3;112,8926088;6,6
121;121;141,3;26,8;46,2;65,52546083;15,5
122;122;18,8;21,7;50,4;63,85492427;7
123;123;224;2,4;15,6;89,51582065;11,6
124;124;123,1;34,6;12,4;15,7571908;15,2
125;125;229,5;32,3;74,2;88,08072142;19,7
126;126;87,2;11,8;25,9;121,0909822;10,6
127;127;7,8;38,9;50,6;209,4719773;6,6
128;128;80,2;0;9,2;358,2470416;8,8
129;129;220,3;49;3,2;187,4370602;24,7
130;130;59,6;12;43,1;197,1965544;9,7
131;131;0,7;39,6;8,7;162,9025909;1,6
132;132;265,2;2,9;43;172,156659;12,7
133;133;8,4;27,2;2,1;238,055219;5,7
134;134;219,8;33,5;45,1;171,4780182;19,6
135;135;36,9;38,6;65,6;81,24674844;10,8
136;136;48,3;47;8,5;61,22732307;11,6
137;137;25,6;39;9,3;77,23079741;9,5
