Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
61,1,0.925,0.02236067977499787,0.07216215133666992,0.008471327668971206,0.0005002975463867188,1.1680077279964342e-07,0.25,3,50,"{'learning_rate': 0.25, 'max_depth': 3, 'n_estimators': 50}",0.95,0.9,0.9,0.925,0.95
85,2,0.915,0.025495097567963917,0.06685752868652343,0.002016599040576112,0.0006005764007568359,0.00020015241845581234,0.1,3,50,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",0.95,0.875,0.9,0.925,0.925
43,2,0.915,0.02999999999999997,0.0899773120880127,0.010164510386885508,0.0007006168365478515,0.00024526227582950095,0.5,4,50,"{'learning_rate': 0.5, 'max_depth': 4, 'n_estimators': 50}",0.95,0.9,0.9,0.95,0.875
57,2,0.915,0.012247448713915901,0.19496774673461914,0.0025830012438682473,0.0007007122039794922,0.0002451843159498659,0.25,2,200,"{'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 200}",0.925,0.925,0.9,0.925,0.9
80,5,0.9099999999999999,0.02549509756796391,0.09758381843566895,0.0016746520955361647,0.0006005764007568359,0.00020015241845581234,0.1,2,100,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100}",0.95,0.9,0.9,0.925,0.875
105,5,0.9099999999999999,0.019999999999999973,0.2032747745513916,0.013215282688493833,0.0007007598876953125,0.0002452427510974719,0.05,2,200,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 200}",0.95,0.9,0.9,0.9,0.9
93,5,0.9099999999999999,0.019999999999999973,0.3556058406829834,0.007884462865171412,0.0010009288787841796,2.78041453115716e-07,0.1,4,200,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200}",0.95,0.9,0.9,0.9,0.9
106,5,0.9099999999999999,0.020000000000000018,0.5461699008941651,0.07344879622202867,0.0010010242462158204,1.1680077279964343e-07,0.05,2,500,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 500}",0.925,0.925,0.9,0.925,0.875
131,5,0.9099999999999999,0.019999999999999973,1.0287850379943848,0.05321387617160057,0.0011008739471435546,0.0002003432100448629,0.01,2,1000,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 1000}",0.95,0.9,0.9,0.9,0.9
79,10,0.905,0.02449489742783176,0.0496427059173584,0.001320166215112937,0.0006004810333251953,0.00020020010216655938,0.1,2,50,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 50}",0.95,0.9,0.9,0.9,0.875
37,10,0.905,0.018708286933869726,0.07856740951538085,0.012612472189724859,0.001001119613647461,1.5078914929239175e-07,0.5,3,50,"{'learning_rate': 0.5, 'max_depth': 3, 'n_estimators': 50}",0.925,0.9,0.9,0.925,0.875
110,10,0.905,0.029154759474226494,0.13451576232910156,0.01016958664780665,0.0008007526397705078,0.0002452038175163527,0.05,3,100,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.95,0.875,0.875,0.925,0.9
62,10,0.905,0.033166247903554,0.14912824630737304,0.023184649654652258,0.0008007526397705078,0.0002452037711521282,0.25,3,100,"{'learning_rate': 0.25, 'max_depth': 3, 'n_estimators': 100}",0.95,0.85,0.9,0.925,0.9
81,10,0.905,0.018708286933869726,0.19366660118103027,0.0028483819035531478,0.0006006240844726562,0.00020024778587730884,0.1,2,200,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 200}",0.925,0.925,0.9,0.9,0.875
111,10,0.905,0.029154759474226494,0.2797407150268555,0.015254497846007355,0.0006005287170410157,0.00020017629580703662,0.05,3,200,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.95,0.875,0.9,0.925,0.875
60,16,0.9049999999999999,0.02915475947422653,0.013711643218994141,0.0002451259039751712,0.0006006240844726562,0.0002002478426503818,0.25,3,10,"{'learning_rate': 0.25, 'max_depth': 3, 'n_estimators': 10}",0.925,0.85,0.9,0.925,0.925
55,17,0.9,0.035355339059327376,0.05134425163269043,0.0024638178622166467,0.0008006572723388671,0.0002452232340829889,0.25,2,50,"{'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 50}",0.95,0.925,0.9,0.875,0.85
74,17,0.9,0.01581138830084191,0.0688591480255127,0.001167189401810639,0.0006006240844726562,0.00020024778587730884,0.1,1,100,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 100}",0.9,0.925,0.9,0.9,0.875
19,17,0.9,0.035355339059327376,0.07336306571960449,0.004679532830548301,0.0007006645202636719,0.0002452232340829889,1,4,50,"{'learning_rate': 1, 'max_depth': 4, 'n_estimators': 50}",0.9,0.85,0.875,0.925,0.95
20,17,0.9,0.035355339059327376,0.10208783149719239,0.008912478817192215,0.000600433349609375,0.00020022400789924513,1,4,100,"{'learning_rate': 1, 'max_depth': 4, 'n_estimators': 100}",0.9,0.85,0.875,0.925,0.95
104,17,0.9,0.02738612787525829,0.11139554977416992,0.014657042958986295,0.0007006645202636719,0.0002451259039751712,0.05,2,100,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 100}",0.95,0.875,0.9,0.9,0.875
56,17,0.9,0.022360679774997918,0.11239681243896485,0.011440566304288795,0.001000690460205078,0.0003165064387324431,0.25,2,100,"{'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 100}",0.925,0.925,0.875,0.9,0.875
21,17,0.9,0.035355339059327376,0.16664352416992187,0.011050331371462266,0.0014009475708007812,0.001563438626561681,1,4,200,"{'learning_rate': 1, 'max_depth': 4, 'n_estimators': 200}",0.9,0.85,0.875,0.925,0.95
87,17,0.9,0.02738612787525829,0.2688312530517578,0.008813200704306036,0.0008005619049072266,0.0002452427510974719,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.95,0.875,0.9,0.9,0.875
22,17,0.9,0.035355339059327376,0.26993231773376464,0.030805814789930525,0.0008006572723388671,0.0002452232340829889,1,4,500,"{'learning_rate': 1, 'max_depth': 4, 'n_estimators': 500}",0.9,0.85,0.875,0.925,0.95
135,17,0.9,0.022360679774997918,0.280741548538208,0.023208325822012262,0.0010007381439208984,0.0005484229054814437,0.01,3,200,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.925,0.875,0.875,0.9,0.925
64,17,0.9,0.02738612787525833,0.3776248455047607,0.010244117400389973,0.0010009765625,2.431401974483864e-07,0.25,3,500,"{'learning_rate': 0.25, 'max_depth': 3, 'n_estimators': 500}",0.925,0.85,0.9,0.925,0.9
23,17,0.9,0.035355339059327376,0.43607521057128906,0.014901190824097738,0.0011008739471435546,0.00019998567469293527,1,4,1000,"{'learning_rate': 1, 'max_depth': 4, 'n_estimators': 1000}",0.9,0.85,0.875,0.925,0.95
130,17,0.9,0.02738612787525829,0.5180454730987549,0.029729802224532514,0.0009007453918457031,0.0002002716064453125,0.01,2,500,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 500}",0.95,0.875,0.9,0.9,0.875
65,17,0.9,0.02738612787525833,0.5771965026855469,0.015946770339724078,0.001000833511352539,9.536743164062499e-08,0.25,3,1000,"{'learning_rate': 0.25, 'max_depth': 3, 'n_estimators': 1000}",0.925,0.85,0.9,0.925,0.9
94,17,0.9,0.01581138830084191,0.6413517475128174,0.0737102120292403,0.001000833511352539,1.784161275279017e-07,0.1,4,500,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 500}",0.925,0.9,0.9,0.9,0.875
136,17,0.9,0.035355339059327376,0.6697760581970215,0.009799367555184646,0.0009006977081298829,0.00020012858370130188,0.01,3,500,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",0.95,0.85,0.875,0.9,0.925
112,17,0.9,0.01581138830084191,0.6818864822387696,0.045905140646738785,0.0012011528015136719,0.0002450870167730141,0.05,3,500,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 500}",0.925,0.875,0.9,0.9,0.9
88,17,0.9,0.02738612787525829,0.7124128818511963,0.05922749351556779,0.0012009620666503906,0.0002451454751137547,0.1,3,500,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",0.95,0.875,0.9,0.9,0.875
95,17,0.9,0.01581138830084191,0.8245091915130616,0.0735783206196034,0.0013010978698730468,0.00024532061825971945,0.1,4,1000,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 1000}",0.925,0.9,0.9,0.9,0.875
137,17,0.9,0.04743416490252569,1.4052089214324952,0.07799461650648351,0.0014011383056640625,0.00020012869731506297,0.01,3,1000,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 1000}",0.95,0.825,0.9,0.95,0.875
109,37,0.8949999999999999,0.029154759474226483,0.06955971717834472,0.005324354630817326,0.00050048828125,1.784161275279017e-07,0.05,3,50,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50}",0.95,0.875,0.875,0.9,0.875
50,37,0.8949999999999999,0.029154759474226483,0.07006030082702637,0.0029689970005817657,0.0006003856658935546,0.00019989019359340296,0.25,1,100,"{'learning_rate': 0.25, 'max_depth': 1, 'n_estimators': 100}",0.875,0.9,0.875,0.875,0.95
75,37,0.8949999999999999,0.024494897427831803,0.131713342666626,0.0016865876517768719,0.0007005691528320313,0.00024510643331571234,0.1,1,200,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 200}",0.875,0.925,0.875,0.875,0.925
86,37,0.8949999999999999,0.024494897427831803,0.13311448097229003,0.0021928317170398504,0.0008007049560546875,0.0002451648221064515,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.925,0.85,0.9,0.9,0.9
44,37,0.8949999999999999,0.02915475947422653,0.14072132110595703,0.02454729086841536,0.0007005214691162109,0.00024543751164328025,0.5,4,100,"{'learning_rate': 0.5, 'max_depth': 4, 'n_estimators': 100}",0.925,0.85,0.9,0.925,0.875
99,37,0.8949999999999999,0.010000000000000009,0.15393242835998536,0.01804483310147006,0.0009006977081298829,0.00020024778587730886,0.05,1,200,"{'learning_rate': 0.05, 'max_depth': 1, 'n_estimators': 200}",0.9,0.9,0.9,0.9,0.875
38,37,0.8949999999999999,0.024494897427831803,0.1586362361907959,0.024532530253281608,0.0008008003234863282,0.00024495080725429864,0.5,3,100,"{'learning_rate': 0.5, 'max_depth': 3, 'n_estimators': 100}",0.925,0.9,0.9,0.9,0.85
45,37,0.8949999999999999,0.02915475947422653,0.17204804420471193,0.011408876063545244,0.0009007930755615234,0.0002001763526003853,0.5,4,200,"{'learning_rate': 0.5, 'max_depth': 4, 'n_estimators': 200}",0.925,0.85,0.9,0.925,0.875
39,37,0.8949999999999999,0.018708286933869722,0.2025743007659912,0.04344869908365442,0.0008006095886230469,0.00024528166922875984,0.5,3,200,"{'learning_rate': 0.5, 'max_depth': 3, 'n_estimators': 200}",0.925,0.875,0.9,0.9,0.875
46,37,0.8949999999999999,0.02915475947422653,0.27843942642211916,0.003739243425154068,0.0009009361267089844,0.00019989019359340296,0.5,4,500,"{'learning_rate': 0.5, 'max_depth': 4, 'n_estimators': 500}",0.925,0.85,0.9,0.925,0.875
