Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_samples,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
3,1,0.9100000000000001,0.03741657386773941,0.31437067985534667,0.013275867778952151,0.030326032638549806,0.00128951560849205,0.5,200,"{'max_samples': 0.5, 'n_estimators': 200}",0.875,0.925,0.9,0.975,0.875
2,2,0.905,0.04847679857416329,0.16774468421936034,0.007458925439085614,0.024421024322509765,0.0032494121427336284,0.5,100,"{'max_samples': 0.5, 'n_estimators': 100}",0.875,0.875,0.875,1.0,0.9
4,3,0.9,0.04183300132670378,0.8126993656158448,0.014444999444944555,0.06555619239807128,0.003117027735911733,0.5,500,"{'max_samples': 0.5, 'n_estimators': 500}",0.9,0.85,0.875,0.975,0.9
9,4,0.8950000000000001,0.045825756949558406,0.33368721008300783,0.022747019642285673,0.03322863578796387,0.002338766212571142,0.75,200,"{'max_samples': 0.75, 'n_estimators': 200}",0.85,0.85,0.9,0.975,0.9
28,4,0.8950000000000001,0.03316624790355399,0.8142004489898682,0.014344104199637605,0.05534768104553223,0.0012093930328145328,1.0,500,"{'max_samples': 1.0, 'n_estimators': 500}",0.875,0.85,0.9,0.95,0.9
23,4,0.8950000000000001,0.04301162633521313,1.5783576965332031,0.2834427899181272,0.08397235870361328,0.019702875929525455,0.95,1000,"{'max_samples': 0.95, 'n_estimators': 1000}",0.875,0.85,0.875,0.975,0.9
17,4,0.8950000000000001,0.03316624790355399,1.7876379013061523,0.09150477461892516,0.09768381118774414,0.011505058044534269,0.9,1000,"{'max_samples': 0.9, 'n_estimators': 1000}",0.9,0.85,0.875,0.95,0.9
25,8,0.8949999999999999,0.045825756949558406,0.08557343482971191,0.0010008573642854208,0.015613555908203125,0.0013576050904357377,1.0,50,"{'max_samples': 1.0, 'n_estimators': 50}",0.9,0.85,0.9,0.975,0.85
21,9,0.89,0.025495097567963948,0.3237786769866943,0.008924107491647789,0.03212747573852539,0.0009704002003252538,0.95,200,"{'max_samples': 0.95, 'n_estimators': 200}",0.875,0.85,0.9,0.925,0.9
27,9,0.89,0.025495097567963948,0.34119353294372556,0.012049464605477655,0.030126047134399415,0.001935612110738897,1.0,200,"{'max_samples': 1.0, 'n_estimators': 200}",0.875,0.85,0.9,0.925,0.9
16,9,0.89,0.033911649915626334,0.8692476272583007,0.0418737590872479,0.06065225601196289,0.005117177635560414,0.9,500,"{'max_samples': 0.9, 'n_estimators': 500}",0.875,0.85,0.875,0.95,0.9
29,9,0.89,0.033911649915626334,1.4537502765655517,0.1939296596296239,0.06946015357971191,0.008406255290541106,1.0,1000,"{'max_samples': 1.0, 'n_estimators': 1000}",0.875,0.85,0.875,0.95,0.9
5,9,0.89,0.04636809247747852,1.701463508605957,0.04552737914159852,0.10589118003845215,0.0026022342729920492,0.5,1000,"{'max_samples': 0.5, 'n_estimators': 1000}",0.9,0.85,0.875,0.975,0.85
11,9,0.89,0.033911649915626334,1.8328765869140624,0.10915494582041078,0.09938545227050781,0.0072765139630088845,0.75,1000,"{'max_samples': 0.75, 'n_estimators': 1000}",0.9,0.85,0.875,0.95,0.875
15,15,0.8850000000000001,0.025495097567963945,0.33118491172790526,0.012908296631800284,0.03262796401977539,0.0015952648280455116,0.9,200,"{'max_samples': 0.9, 'n_estimators': 200}",0.875,0.85,0.875,0.925,0.9
7,16,0.885,0.040620192023179805,0.088676118850708,0.004309489129789616,0.017815399169921874,0.0014010906422336604,0.75,50,"{'max_samples': 0.75, 'n_estimators': 50}",0.875,0.825,0.9,0.95,0.875
1,16,0.885,0.03741657386773941,0.08927736282348633,0.0008131021656899781,0.01501293182373047,0.002590596999492967,0.5,50,"{'max_samples': 0.5, 'n_estimators': 50}",0.9,0.85,0.85,0.95,0.875
26,16,0.885,0.025495097567963948,0.16193923950195313,0.003871076284549773,0.018816137313842775,0.0012095153680561383,1.0,100,"{'max_samples': 1.0, 'n_estimators': 100}",0.9,0.85,0.875,0.925,0.875
20,16,0.885,0.020000000000000018,0.1713474750518799,0.008287425823945994,0.024420833587646483,0.00132040120353092,0.95,100,"{'max_samples': 0.95, 'n_estimators': 100}",0.875,0.875,0.875,0.925,0.875
22,16,0.885,0.03391164991562633,0.8759535312652588,0.052910061427186766,0.0579498291015625,0.001626327506935507,0.95,500,"{'max_samples': 0.95, 'n_estimators': 500}",0.875,0.85,0.875,0.95,0.875
8,21,0.8800000000000001,0.03316624790355403,0.1620394229888916,0.006489537341275495,0.02211899757385254,0.00159514213889212,0.75,100,"{'max_samples': 0.75, 'n_estimators': 100}",0.875,0.825,0.9,0.925,0.875
10,21,0.8800000000000001,0.03674234614174766,0.9137861251831054,0.04222533921482044,0.06135268211364746,0.0028238232189647596,0.75,500,"{'max_samples': 0.75, 'n_estimators': 500}",0.85,0.85,0.875,0.95,0.875
19,23,0.875,0.02738612787525833,0.09027767181396484,0.005631524270386953,0.019216489791870118,0.002928257475379117,0.95,50,"{'max_samples': 0.95, 'n_estimators': 50}",0.875,0.85,0.875,0.925,0.85
24,24,0.8699999999999999,0.048476798574163295,0.03002591133117676,0.002848482429297734,0.012210512161254882,0.0019407806435998677,1.0,10,"{'max_samples': 1.0, 'n_estimators': 10}",0.825,0.85,0.9,0.95,0.825
13,24,0.8699999999999999,0.039999999999999994,0.09167890548706055,0.004274425029590774,0.01911635398864746,0.0031872100752997324,0.9,50,"{'max_samples': 0.9, 'n_estimators': 50}",0.85,0.85,0.85,0.95,0.85
14,24,0.8699999999999999,0.03316624790355403,0.18976340293884278,0.018680170231045328,0.024921321868896486,0.003340564986033845,0.9,100,"{'max_samples': 0.9, 'n_estimators': 100}",0.875,0.825,0.85,0.925,0.875
12,27,0.845,0.018708286933869726,0.0325282096862793,0.004234758955646013,0.008206939697265625,0.000748971808355195,0.9,10,"{'max_samples': 0.9, 'n_estimators': 10}",0.85,0.825,0.85,0.875,0.825
6,28,0.835,0.046368092477478515,0.02972569465637207,0.003417571499875699,0.012010288238525391,0.0013050260196894523,0.75,10,"{'max_samples': 0.75, 'n_estimators': 10}",0.9,0.775,0.8,0.875,0.825
18,28,0.835,0.01999999999999998,0.030426025390625,0.0012818799320212305,0.010108661651611329,0.001242022482846537,0.95,10,"{'max_samples': 0.95, 'n_estimators': 10}",0.85,0.825,0.85,0.85,0.8
0,28,0.835,0.06442049363362563,0.04313778877258301,0.001686712157626355,0.008707427978515625,0.001722022704826189,0.5,10,"{'max_samples': 0.5, 'n_estimators': 10}",0.75,0.85,0.775,0.925,0.875
